time_stamp,snap_shot,State,Abbr,Cases,Range
2022-07-25,2022-07-25 23 17 12,Pennsylvania,PA,84,1 to 2
2022-07-25,2022-07-25 23 17 12,Puerto Rico,PR,9,1 to 2
2022-07-25,2022-07-25 23 17 12,Rhode Island,RI,10,1 to 2
2022-07-25,2022-07-25 23 17 12,South Carolina,SC,12,1 to 2
2022-07-25,2022-07-25 23 17 12,South Dakota,SD,1,1 to 2
2022-07-25,2022-07-25 23 17 12,Tennessee,TN,18,1 to 2
2022-07-25,2022-07-25 23 17 12,Texas,TX,220,1 to 2
2022-07-25,2022-07-25 23 17 12,Utah,UT,11,1 to 2
2022-07-25,2022-07-25 23 17 12,Virginia,VA,39,1 to 2
2022-07-25,2022-07-25 23 17 12,Washington,WA,69,1 to 2
2022-07-25,2022-07-25 23 17 12,West Virginia,WV,1,1 to 2
2022-07-25,2022-07-25 23 17 12,Wisconsin,WI,9,1 to 2
2022-07-25,2022-07-25 23 17 12,Non-US Resident,Non-US Resident,3,1 to 2
2022-06-10,2022-06-11 20 25 54,Massachusetts,MA,1,1 to 2
2022-06-10,2022-06-11 20 25 54,Florida,FL,4,1 to 2
2022-06-10,2022-06-11 20 25 54,Georgia,GA,1,1 to 2
2022-06-10,2022-06-11 20 25 54,Hawaii,HI,2,1 to 2
2022-06-10,2022-06-11 20 25 54,Illinois,IL,3,1 to 2
2022-06-10,2022-06-11 20 25 54,Utah,UT,2,1 to 2
2022-06-10,2022-06-11 20 25 54,California,CA,8,1 to 2
2022-06-10,2022-06-11 20 25 54,Washington,WA,1,1 to 2
2022-06-10,2022-06-11 20 25 54,Virginia,VA,1,1 to 2
2022-06-10,2022-06-11 20 25 54,New York,NY,9,1 to 2
2022-06-10,2022-06-11 20 25 54,Pennsylvania,PA,1,1 to 2
2022-06-10,2022-06-11 20 25 54,Colorado,CO,3,1 to 2
2022-06-10,2022-06-11 20 25 54,District of Columbia,DC,2,1 to 2
2022-06-10,2022-06-11 20 25 54,Arizona,AZ,1,1 to 2
2022-06-10,2022-06-11 20 25 54,Texas,TX,1,1 to 2
2022-07-19,2022-07-20 17 23 15,Alabama,AL,2,1 to 2
